3356;0.14365584054
64664;3.17844286965e-06;MINAP Milan
64692;2.85512210859e-07;NIXI Chennai
65121;0.000617857467875;CoreSite - Any2 Los Angeles
65122;1.19933244347e-07;Equinix Dallas (former PAIX)
64665;6.65738503987e-05;BNIX
64666;0.000310761691906;STHIX
64667;1.03833527887e-07;XchangePoint London
64668;1.16428710318e-05;KIXP
64837;4.49519165707e-07;GR-IX
64841;3.42852591415e-07;FR-IX
64763;1.04029900494e-08;LINX Route-Server RS4
64609;6.31596363396e-06;CATNIX
64901;2.91288062158e-08;LINX Route-Server RS2
64902;1.04029900494e-08;LINX Route-Server RS3
64673;0.0;PTTMETRO Belo Horizonte
64674;6.18667168921e-05;WIX
64525;0.000177049893974;JPNAP Tokyo
64634;6.64980495744e-10;Terremark NAP de las Madrid
64769;0.0;CHIX-NZ
64771;8.21202789027e-07;SGIX
64679;3.5597036475e-08;JPNAP Tokyo 2
64748;0.0;Angola-IXP / ANG-IXP
64680;1.15041762987e-07;CIIX (formerly LAAP)
64681;5.73284625388e-06;CoreSite - Any2 Chicago
65123;3.48400412216e-06;AC-X
64791;5.3988391315e-05;RTIX
64683;8.91050084187e-05;DIX
64684;2.30495746151e-08;MAE East
64969;1.33873826921e-08;VLV-IX
64686;2.88755532714e-05;CIX
64989;1.52204262827e-06;dataix
64706;0.0;MA-IX
64688;0.000321560405952;Equinix Chicago
64714;0.0;Ottawa GigaPOP
64691;1.27934396216e-06;NIX2
65124;0.0;CBN Exchange Point
64788;5.11600924639e-07;Equinix Toronto
64735;2.42967684268e-10;PIPE Networks Hobart
64971;0.0;SainteTiX
64513;0.0;PIX Montreal
64660;4.77752310405e-05;RoNIX
64520;6.97269821954e-07;PTTMETRO Rio de Janeiro
64755;1.03293683894e-05;LIPTAM
65125;0.0;PTTMETRO Campinas
64874;3.89150956276e-05;OpenIXP / NiCE
64702;3.61778782516e-06;LU-CIX
64703;3.52967054861e-05;SOX
64704;1.33385267502e-06;Sitelix
64696;2.02473070223e-08;TREX
64630;2.93206363536e-07;RMIX Denver
64687;3.08634518568e-07;PTTMETRO Curitiba
64908;8.90251909904e-08;RND-IX
65126;6.00044548525e-07;CoreSite - Any2 DC
64708;0.0;CNC Beijing NAP
64618;0.0;PIPE Networks Canberra
64846;0.0;ULN-IX
