701;0.0383200554108
3257;0.0204848948186
3549;0.102294570443
174;0.122687313494
209;0.0468243245801
1239;0.0174402784713
2828;0.0232539541923
2914;0.0312248069095
3320;0.0101065220677
3356;0.0998425244552
64891;0.0;DE-CIX New York
64632;5.29446762842e-05;DIX-IE
64639;0.000285249334588;Equinix Sydney
64641;2.67631091257e-05;TOP-IX
64643;0.0;PIX
64605;0.0;PHX-IX
64672;8.19721030905e-05;npIX
64749;2.20658096438e-06;Equinix Atlanta
64988;7.70080832148e-08;UTOPIA
64895;2.6926257844e-05;SOL-IX / SOLIX
64654;1.5622502245e-06;JPNAP Osaka
64659;1.08533190994e-06;TOUIX
64745;0.0;EuroGIX
64897;0.0;MIX-BT
64667;4.33373754245e-05;XchangePoint London
64668;3.11338851982e-06;KIXP
64900;0.0;UIXP
64901;1.18023990675e-07;LINX Route-Server RS2
64902;2.66289264329e-07;LINX Route-Server RS3
64903;2.89696594053e-07;LINX Route-Server RS1
64769;1.79132008717e-07;CHIX-NZ
64680;9.17559647204e-07;CIIX (formerly LAAP)
64681;4.50105337589e-05;CoreSite - Any2 Chicago
64683;0.000109497779174;DIX
64684;0.0;MAE East
64904;0.0;CyrusOne IX Austin
64989;5.79004305634e-06;dataix
64714;0.0;Ottawa GigaPOP
64692;1.10921328345e-05;NIXI Chennai
64513;0.0;PIX Montreal
64990;1.09269004325e-08;France-IX Marseilles
64703;5.12815402679e-05;SOX
64991;1.03496679351e-09;MegaPort-IX-VIC
64908;8.14242998485e-08;RND-IX
64909;3.07288058878e-05;Equinix Seattle
64910;3.07802943119e-07;GigaPix OPorto
64715;0.000371207120345;Equinix San Jose
64992;5.7630667797e-08;ECIX Amsterdam
64720;0.0;TaipeiGigaPoP
64608;0.000169394657226;MyIX
64733;0.000475155129296;NYIIX
64911;2.07428311669e-06;IX Australia VIC
64721;4.95659622748e-07;PHOpenIX
64739;4.32454249888e-05;NWAX
64514;6.44345131991e-07;TIX
64515;0.00102765473492;Equinix Ashburn
64913;0.00245486150729;LINX Juniper LAN
64914;0.000111466604157;France-IX
64523;6.07405656721e-08;OCIX
64525;9.01570378819e-05;JPNAP Tokyo
64528;3.1567012851e-07;Netnod Lulea
64917;4.33811734224e-05;MBIX
64535;4.36884000256e-05;MerieX
64918;4.33535044806e-05;PHLIX
64537;4.53480298234e-08;NSPIXP3
64919;4.62840139474e-08;QIX
64539;0.0;GEIX
64920;4.78900713815e-05;PTT-CAS
64551;0.0;MAE West
64922;4.46539900108e-05;DE-CIX Munich
64547;4.60477912824e-08;SD-NAP
64550;2.70111415542e-05;GigaPix
64704;2.51636673517e-06;Sitelix
64925;1.13515489791e-08;GCIIX
64927;2.77824199097e-08;PTT-CE
64696;4.64353555797e-07;TREX
64928;1.30364067278e-06;CINX
64929;7.72191480267e-07;B-IX
64566;3.41389938066e-09;Norrnod
64569;8.54168954696e-07;ExWest
64570;7.46947687753e-05;INTERLAN
64930;0.0;BY-IX
64968;5.95156566111e-08;MKE-IX
64698;0.000190308854017;LIPEX
64578;2.31633629344e-05;PIPE Networks Brisbane
64709;1.32192537503e-05;NIXI Delhi
64932;1.12937256684e-07;ECIX Frankfurt
64719;0.000289426698255;Equinix Paris
64581;1.32022250658e-06;BDIX
64933;3.91127870256e-07;KRS-IX
64588;9.75450057864e-06;MCIX
64589;3.14845437339e-05;Telx New York
64542;0.000512804346396;LINX Extreme LAN
64935;0.0;RDC-IX Kinshasa
64592;6.34111318336e-06;KINX
64595;5.52160525944e-06;ACTIX
64600;3.09907673691e-05;CNIX
64644;0.000408940329838;HKIX
64937;3.4433397736e-05;Thinx
64604;2.83703286772e-07;NDIX
64993;3.87482562427e-06;NAP Africa Cape Town
64563;0.000214550337085;VIX
64940;3.60757098986e-07;GraX
64942;4.07270117612e-07;MalmIX Malmo / IXOR
64614;1.05788680666e-06;NIX-CAT
64617;7.15638018045e-06;NAP.EC
64943;7.12614811982e-06;COPHIX
64944;5.83293796805e-05;INEX LAN1
64945;1.49886068442e-06;INEX LAN2
64946;0.0;Sea-IX
64627;0.0001516454499;SwissIX
64628;5.41862374042e-05;PacketExchange
64947;5.92876931586e-07;Equinix Vienna, VA
64635;3.30039096673e-07;NSK-IX
64949;4.56392716706e-05;BBIX Tokyo
64950;6.12734152437e-05;SMILE-LV
64951;0.0;NET-IX
64649;1.13528851853e-09;EMIX
64653;3.91749950728e-06;NaMeX
64955;4.39763265268e-08;CoreSite - Any2 New York
64956;3.55982086618e-07;Peering.cz
64957;0.0;Echigo-IX
64958;6.58317060279e-07;Rheintal IX
64960;1.4886761067e-05;Boston Internet Exchange
64658;6.90529822776e-05;Terremark - NAP do Brasil
64994;0.0;Od-IX
64961;1.49618891655e-08;PTT-MAO
64661;7.9635258674e-07;GIX Gothenburg
64962;4.41327671533e-05;EPIX
64963;1.07628012382e-08;IXScotland
64664;8.9196587556e-05;MINAP Milan
64964;0.0;MIX NDC
64965;1.23194215971e-06;AMS-IX Hong Kong
64666;0.00011750494957;STHIX
64609;5.1640827093e-06;CATNIX
64888;3.91292350799e-05;KCIX Kansas City
64676;2.79254320483e-06;ECIX Hamburg
64967;7.10731479853e-07;GigaNET
64931;0.0;OMSK-IX
64969;2.05825135715e-08;VLV-IX
64970;1.93396092294e-08;PTT-VIX
64686;4.90636833035e-05;CIX
64688;0.00032271269265;Equinix Chicago
64971;0.0;SainteTiX
64972;0.00365998014909;DE-CIX Frankfurt
64702;6.35207430191e-05;LU-CIX
64731;0.000369665644657;NOTA
