,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,all_reach_2006,all_reach_2007,all_reach_2008,all_reach_2009,all_reach_2010,all_reach_2011,all_reach_2012,all_reach_2013,all_reach_2014,all_reach_2015,all_reach_2016,t1_cc_reach_2006,t1_cc_reach_2007,t1_cc_reach_2008,t1_cc_reach_2009,t1_cc_reach_2010,t1_cc_reach_2011,t1_cc_reach_2012,t1_cc_reach_2013,t1_cc_reach_2014,t1_cc_reach_2015,t1_cc_reach_2016
29,1131294604.0,1132206879.0,1241509280.0,1415759935.0,1616923923.0,1908855657.0,1972330907.0,1958672898.0,1982750530.0,2138126047.0,2251165256.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
30,1131295620.0,1132230673.0,1241516948.0,1415829301.0,1616934631.0,1908933679.0,1972553855.0,1958934208.0,1982903652.0,2138343565.0,2251438082.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
31,1131296382.0,1132250371.0,1241522058.0,1415895767.0,1616945123.0,1909003791.0,1972764677.0,1959176838.0,1983053024.0,2138545769.0,2251703782.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
32,1131296892.0,1132265723.0,1241526152.0,1415961555.0,1616955363.0,1909073389.0,1972959195.0,1959352142.0,1983187910.0,2138746703.0,2251953632.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
33,1131297146.0,1132280049.0,1241530226.0,1416014277.0,1616964571.0,1909141381.0,1973085223.0,1959498026.0,1983321724.0,2138912033.0,2252197806.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
34,1131297400.0,1132293609.0,1241532272.0,1416065963.0,1616973271.0,1909206915.0,1973208261.0,1959637190.0,1983453814.0,2139072757.0,2252390134.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
35,1131297654.0,1132303577.0,1241533804.0,1416104945.0,1616981681.0,1909262447.0,1973326859.0,1959770528.0,1983574082.0,2139221201.0,2252573834.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
36,1131297654.0,1132311767.0,1241534826.0,1416135897.0,1616989871.0,1909317901.0,1973419489.0,1959855210.0,1983688764.0,2139330729.0,2252748380.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
37,1131297654.0,1132319175.0,1241535842.0,1416164561.0,1616998061.0,1909372645.0,1973506461.0,1959936916.0,1983792906.0,2139434273.0,2252920042.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
38,1131297654.0,1132323763.0,1241536858.0,1416184259.0,1617006249.0,1909419925.0,1973592973.0,1960017282.0,1983881190.0,2139534077.0,2253084748.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
39,1131297654.0,1132328113.0,1241537112.0,1416203705.0,1617012127.0,1909465485.0,1973673575.0,1960097126.0,1983965634.0,2139633629.0,2253247012.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
40,1131297654.0,1132332207.0,1241537112.0,1416223117.0,1617017243.0,1909502287.0,1973747139.0,1960170842.0,1984047530.0,2139711687.0,2253386998.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
41,1131297654.0,1132334493.0,1241537112.0,1416239753.0,1617022353.0,1909538871.0,1973813135.0,1960236376.0,1984128918.0,2139787959.0,2253523376.0,2027907540,1651461574,1800280074,1981103840,2169297027,2391707876,2501323665,2612374822,2659905752,2713901174,2806943549,2001539438,1649229444,1763615104,1978613970,2166731285,2389168186,2492871347,2610053236,2602916230,2710220575,2801407768
