,Africa/2006,Africa/2007,Africa/2008,Africa/2009,Africa/2010,Africa/2011,Africa/2012,Africa/2013,Africa/2014,Africa/2015,Africa/2016,Asia Pacific/2006,Asia Pacific/2007,Asia Pacific/2008,Asia Pacific/2009,Asia Pacific/2010,Asia Pacific/2011,Asia Pacific/2012,Asia Pacific/2013,Asia Pacific/2014,Asia Pacific/2015,Asia Pacific/2016,Australia/2006,Australia/2007,Australia/2008,Australia/2009,Australia/2010,Australia/2011,Australia/2012,Australia/2013,Australia/2014,Australia/2015,Australia/2016,Europe/2006,Europe/2007,Europe/2008,Europe/2009,Europe/2010,Europe/2011,Europe/2012,Europe/2013,Europe/2014,Europe/2015,Europe/2016,Middle East/2006,Middle East/2007,Middle East/2008,Middle East/2009,Middle East/2010,Middle East/2011,Middle East/2012,Middle East/2013,Middle East/2014,Middle East/2015,Middle East/2016,North America/2006,North America/2007,North America/2008,North America/2009,North America/2010,North America/2011,North America/2012,North America/2013,North America/2014,North America/2015,North America/2016,South America/2006,South America/2007,South America/2008,South America/2009,South America/2010,South America/2011,South America/2012,South America/2013,South America/2014,South America/2015,South America/2016
282,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,18168.0,17402.0,292802.0,1016.0,65534.0,1529910.0,?,?,?,?,?,?,?,?,?,?,?,622580.0,10996.0,12788.0,5366.0,4602.0,45048.0,206818.0,30694.0,1022.0,3820.0,3372,?,?,?,?,?,?,?,?,?,?,?,76772.0,0.0,1532.0,11764.0,0.0,27366.0,6904.0,7924.0,14330.0,1532.0,0.0,?,?,?,?,?,?,?,?,?,4094.0,34808.0
283,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,254.0,109774.0,182228.0,49384.0,16374.0,2044.0,?,?,?,?,?,?,?,?,?,?,?,20476.0,8444.0,8444.0,16378.0,24566.0,1020.0,2556.0,16382.0,8190.0,4094.0,0,?,?,?,?,?,?,?,?,?,?,?,0.0,510.0,1532.0,0.0,1238174.0,66806.0,254.0,66516.0,55508.0,40178.0,8188.0,?,?,?,?,?,?,?,?,?,25586.0,4094.0
284,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,254.0,48366.0,5368.0,532696.0,17396.0,66544.0,?,?,?,?,?,?,?,?,?,?,?,4094.0,12004.0,13266.0,4094.0,4094.0,62424.0,37082.0,84202.0,431056.0,5608.0,31972,?,?,?,?,?,?,?,?,?,?,?,0.0,100598.0,100598.0,973460.0,60144.0,415938.0,225202.0,40948.0,2600070.0,1780.0,5864.0,?,?,?,?,?,?,?,?,?,184070.0,2032.0
285,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.0,0.0,362624.0,82914.0,510.0,140396.0,?,?,?,?,?,?,?,?,?,?,?,10742.0,10222.0,11506.0,66810.0,66810.0,131070.0,102390.0,68326.0,10236.0,53750.0,16380,?,?,?,?,?,?,?,?,?,?,?,510.0,8430.0,8430.0,41206.0,1270.0,762.0,25332.0,3669952.0,208088.0,5479198.0,4848.0,?,?,?,?,?,?,?,?,?,4092.0,0.0
286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,134110.0,77682.0,254.0,13212.0,22518.0,5447612.0,?,?,?,?,?,?,?,?,?,?,?,8444.0,8444.0,8190.0,10236.0,16634.0,9212.0,1022.0,0.0,891668.0,6851362.0,48104,?,?,?,?,?,?,?,?,?,?,?,100598.0,4342.0,4342.0,1270.0,11349798.0,11256.0,239580.0,19430.0,254.0,23246.0,5110.0,?,?,?,?,?,?,?,?,?,8188.0,254.0
287,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1016.0,4745108.0,1233730.0,2804686.0,83190.0,24244.0,?,?,?,?,?,?,?,?,?,?,?,2554.0,71674.0,73724.0,1401528.0,1401528.0,106954.0,254.0,19190.0,37114.0,4094.0,730995,?,?,?,?,?,?,?,?,?,?,?,8430.0,54002.0,54002.0,9252680.0,254.0,43652460.0,78828.0,7414.0,16886.0,165112.0,2556.0,?,?,?,?,?,?,?,?,?,20474.0,254.0
288,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,540656.0,13814.0,34650.0,5114.0,6636.0,45042.0,?,?,?,?,?,?,?,?,?,?,?,10222.0,510.0,510.0,0.0,0.0,1107350.0,2046.0,15570.0,4092.0,5590.0,1173690,?,?,?,?,?,?,?,?,?,?,?,3066.0,131314.0,65780.0,254.0,2046.0,65534.0,1016.0,0.0,1016.0,41464.0,77742.0,?,?,?,?,?,?,?,?,?,0.0,762.0
289,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,208996.0,4092.0,532696.0,12284.0,18424.0,11460.0,?,?,?,?,?,?,?,?,?,?,?,8444.0,0.0,0.0,8188.0,8188.0,110578.0,10996.0,76246.0,13558.0,627904.0,5082,?,?,?,?,?,?,?,?,?,?,?,54002.0,634.0,634.0,0.0,0.0,210126.0,5876.0,9716.0,124368.0,24570.0,1530.0,?,?,?,?,?,?,?,?,?,1022.0,3048.0
290,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,254.0,2298.0,4390860.0,10168.0,12236.0,2824866.0,?,?,?,?,?,?,?,?,?,?,?,69628.0,8190.0,8190.0,9186.0,7402.0,0.0,8190.0,12520.0,7162.0,14330.0,14330,?,?,?,?,?,?,?,?,?,?,?,131314.0,182236.0,192722.0,8190.0,2046.0,9912930.0,1016.0,4090.0,1059286.0,38358.0,3560.0,?,?,?,?,?,?,?,?,?,90862.0,1022.0
291,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.0,6132.0,5334.0,18542.0,242036.0,79862.0,?,?,?,?,?,?,?,?,?,?,?,510.0,2042.0,2042.0,32762.0,36854.0,81906.0,6140.0,0.0,6138.0,14584.0,135900,?,?,?,?,?,?,?,?,?,?,?,508.0,49906.0,66286.0,2046.0,762.0,33020.0,4334.0,1016.0,0.0,876466.0,66042.0,?,?,?,?,?,?,?,?,?,62808.0,1022.0
