64694;1.34237267765e-05;CIXP
64579;0.0;ChIX
64580;0.000268268067529;TorIX
64738;0.0;LGDACOM IX
64877;4.31089461068e-05;PTT-BEL
64878;2.44722298583e-07;BNIIX
64879;2.98402449423e-06;MCIX - Matrix Networks
64591;0.000381940587925;CoreSite - Any2 California
64880;8.26166683604e-08;IXPN Lagos
64593;0.000103098899413;ECIX Duesseldorf
64881;1.11193573968e-05;PTT-RS
64601;3.08147809972e-06;PIX - Poznan
64882;0.000103100516594;BCIX
64883;0.0;IIX_
64884;0.0;CyrusOne IX San Antonio
64885;0.0;CyIX
64886;1.48145295239e-05;PTT-RJ
64887;2.59633726041e-09;CBIX
64612;0.000147695328304;SFINX
64621;4.98375282919e-08;Manila IX
64888;6.85519132146e-05;KCIX Kansas City
64623;2.74549920791e-05;PIPE Networks Melbourne
64889;1.88337714057e-07;Content-IX
64626;6.87572114279e-08;TransACT IX
64629;9.5342525104e-08;TLLIX
64890;1.09120988836e-06;IX Australia ACT
64891;4.48102161135e-05;DE-CIX New York
64632;4.91682039143e-05;DIX-IE
64639;0.000376975931796;Equinix Sydney
64641;1.90247500275e-05;TOP-IX
64643;0.0;PIX
64605;0.0;PHX-IX
64672;8.07940882126e-05;npIX
64892;5.11670764315e-06;Megaport-IX Melbourne
64893;0.0;DjIX
64894;1.30986680878e-05;NAPAfrica IX Cape Town
64895;4.55572275847e-05;SOL-IX / SOLIX
64654;2.11424817389e-06;JPNAP Osaka
64659;1.80843802433e-06;TOUIX
64896;1.39395962724e-06;SLIX
64897;0.0;MIX-BT
64898;0.0;AMS-IX East Africa
64899;0.0;Delta.BG
64667;4.26919969811e-05;XchangePoint London
64668;1.50293870081e-05;KIXP
64900;0.0;UIXP
64901;9.15018617929e-08;LINX Route-Server RS2
64902;2.47450468391e-07;LINX Route-Server RS3
64903;5.61647638315e-07;LINX Route-Server RS1
64677;2.01286616979e-05;BigApe
64680;4.37104873286e-07;CIIX (formerly LAAP)
